"PUD020.Code.or.Value","PUD020.Value.Description","PUD020.Count","PUD020.Cumulative","PUD020.Skip.to.Item"
"1","Entire home",1002,1002,NA
"2","Kitchen or dining room, not entire home",925,1927,NA
"3","Other rooms",154,2081,NA
".","Missing",7884,9965,NA
