"AUXU500L.Code.or.Value","AUXU500L.Value.Description","AUXU500L.Count","AUXU500L.Cumulative","AUXU500L.Skip.to.Item"
"-10 to 105","Range of Values",2183,2183,NA
"666","No response",1,2184,NA
"888","Could not obtain",16,2200,NA
".","Missing",168,2368,NA
