"CIQG01.Code.or.Value","CIQG01.Value.Description","CIQG01.Count","CIQG01.Cumulative","CIQG01.Skip.to.Item"
"1","Yes",110,110,""
"2","No",583,693,"CIQG06"
"7","Refused",0,693,"CIQG06"
"9","Don't know",0,693,"CIQG06"
".","Missing",157,850,""
