"DS1ACTSS.Code.or.Value","DS1ACTSS.Value.Description","DS1ACTSS.Count","DS1ACTSS.Cumulative","DS1ACTSS.Skip.to.Item"
"0.04 to 16","Range of Values",5602,5602,NA
"999","Don't know",14,5616,NA
".","Missing",107,5723,NA
