"DR1TRET.Code.or.Value","DR1TRET.Value.Description","DR1TRET.Count","DR1TRET.Cumulative","DR1TRET.Skip.to.Item"
"0 to 19273","Range of Values",9118,9118,NA
".","Missing",644,9762,NA
