"DS2TCOPP.Code.or.Value","DS2TCOPP.Value.Description","DS2TCOPP.Count","DS2TCOPP.Cumulative","DS2TCOPP.Skip.to.Item"
"0 to 7","Range of Values",1441,1441,NA
".","Missing",8812,10253,NA
