"RHD152.Code.or.Value","RHD152.Value.Description","RHD152.Count","RHD152.Cumulative","RHD152.Skip.to.Item"
"1 to 9","Range of Values",47,47,NA
"77","Refused",0,47,NA
"99","Don't know",0,47,NA
".","Missing",3437,3484,NA
