"TYXP170.Code.or.Value","TYXP170.Value.Description","TYXP170.Count","TYXP170.Cumulative","TYXP170.Skip.to.Item"
"-299 to -1","Range of Values",3521,3521,NA
".","Missing",4948,8469,NA
