"URXEPB.Code.or.Value","URXEPB.Value.Description","URXEPB.Count","URXEPB.Cumulative","URXEPB.Skip.to.Item"
"0.71 to 2100","Range of Values",2749,2749,NA
".","Missing",70,2819,NA
