"BMXWAIST.Code.or.Value","BMXWAIST.Value.Description","BMXWAIST.Count","BMXWAIST.Cumulative","BMXWAIST.Skip.to.Item"
"38.7 to 176","Range of Values",8204,8204,NA
".","Missing",1134,9338,NA
