"LBXPFUA.Code.or.Value","LBXPFUA.Value.Description","LBXPFUA.Count","LBXPFUA.Cumulative","LBXPFUA.Skip.to.Item"
"0.07 to 28.5","Range of Values",2233,2233,NA
".","Missing",199,2432,NA
