"SMD100MN.Code.or.Value","SMD100MN.Value.Description","SMD100MN.Count","SMD100MN.Cumulative","SMD100MN.Skip.to.Item"
"0","Non-menthol",553,553,NA
"1","Menthol",376,929,NA
".","Missing",5795,6724,NA
