"LBXVHE.Code.or.Value","LBXVHE.Value.Description","LBXVHE.Count","LBXVHE.Cumulative","LBXVHE.Skip.to.Item"
"0.0078 to 0.025","Range of Values",2652,2652,NA
".","Missing",1093,3745,NA
