"VIQ230.Code.or.Value","VIQ230.Value.Description","VIQ230.Count","VIQ230.Cumulative","VIQ230.Skip.to.Item"
"1","Yes",2582,2582,NA
"2","No",394,2976,NA
".","Missing",3941,6917,NA
