"INQ140.Code.or.Value","INQ140.Value.Description","INQ140.Count","INQ140.Cumulative","INQ140.Skip.to.Item"
"1","Yes",1943,1943,NA
"2","No",7679,9622,NA
"7","Refused",56,9678,NA
"9","Don't know",29,9707,NA
".","Missing",49,9756,NA
