"WTSPO25.Code.or.Value","WTSPO25.Value.Description","WTSPO25.Count","WTSPO25.Cumulative","WTSPO25.Skip.to.Item"
"0.0000000 to 846812.1374000","Range of Values",0,0,NA
"0","0",2274,2274,NA
".","Missing",0,2274,NA
