"URXPMA.Code.or.Value","URXPMA.Value.Description","URXPMA.Count","URXPMA.Cumulative","URXPMA.Skip.to.Item"
"0.424 to 28","Range of Values",2356,2356,NA
".","Missing",106,2462,NA
