"DR1TS180.Code.or.Value","DR1TS180.Value.Description","DR1TS180.Count","DR1TS180.Cumulative","DR1TS180.Skip.to.Item"
"0 to 42.556","Range of Values",9169,9169,NA
".","Missing",781,9950,NA
