"DXASPND0.Code.or.Value","DXASPND0.Value.Description","DXASPND0.Count","DXASPND0.Cumulative","DXASPND0.Skip.to.Item"
"36.2772 to 52.9721","Range of Values",6382,6382,NA
".","Missing",1338,7720,NA
