"DR2IVB2.Code.or.Value","DR2IVB2.Value.Description","DR2IVB2.Count","DR2IVB2.Cumulative","DR2IVB2.Skip.to.Item"
"0 to 10.728","Range of Values",131205,131205,NA
".","Missing",946,132151,NA
