"DBD090.Code.or.Value","DBD090.Value.Description","DBD090.Count","DBD090.Cumulative","DBD090.Skip.to.Item"
"1 to 21","Range of Values",6556,6556,NA
"0","Never",1272,7828,NA
"6666","Less than weekly",1654,9482,NA
"7777","Refused",5,9487,NA
"9999","Don't know",5,9492,NA
".","Missing",473,9965,NA
