"AUXRR131.Code.or.Value","AUXRR131.Value.Description","AUXRR131.Count","AUXRR131.Cumulative","AUXRR131.Skip.to.Item"
"-45 to 114","Range of Values",2160,2160,NA
".","Missing",208,2368,NA
