"OPDUSNV.Code.or.Value","OPDUSNV.Value.Description","OPDUSNV.Count","OPDUSNV.Cumulative","OPDUSNV.Skip.to.Item"
"0","No",2421,2421,NA
"1","Yes",2,2423,NA
".","Missing",511,2934,NA
