"PAD630.Code.or.Value","PAD630.Value.Description","PAD630.Count","PAD630.Cumulative","PAD630.Skip.to.Item"
"10 to 990","Range of Values",2572,2572,NA
"7777","Refused",0,2572,NA
"9999","Don't know",11,2583,NA
".","Missing",6672,9255,NA
