"SPXNFEV1.Code.or.Value","SPXNFEV1.Value.Description","SPXNFEV1.Count","SPXNFEV1.Cumulative","SPXNFEV1.Skip.to.Item"
"459 to 6770","Range of Values",6319,6319,NA
".","Missing",1424,7743,NA
