"ORXH70.Code.or.Value","ORXH70.Value.Description","ORXH70.Count","ORXH70.Cumulative","ORXH70.Skip.to.Item"
"1","Positive",4,4,NA
"2","Negative",4843,4847,NA
"3","Not evaluated",455,5302,NA
".","Missing",0,5302,NA
