"DIQ140.Code.or.Value","DIQ140.Value.Description","DIQ140.Count","DIQ140.Cumulative","DIQ140.Skip.to.Item"
"1","Yes",894,894,""
"2","No",2284,3178,"End of Section"
"7","Refused",2,3180,"End of Section"
"9","Don't know",4,3184,"End of Section"
".","Missing",6309,9493,""
