"DXXL2BMC.Code.or.Value","DXXL2BMC.Value.Description","DXXL2BMC.Count","DXXL2BMC.Cumulative","DXXL2BMC.Skip.to.Item"
"2.81 to 39.46","Range of Values",6650,6650,NA
".","Missing",1535,8185,NA
