"MCQ010.Code.or.Value","MCQ010.Value.Description","MCQ010.Count","MCQ010.Cumulative","MCQ010.Skip.to.Item"
"1","Yes",1538,1538,""
"2","No",8222,9760,"MCQ053"
"7","Refused",1,9761,"MCQ053"
"9","Don't know",8,9769,"MCQ053"
".","Missing",1,9770,""
