"DR2IMFAT.Code.or.Value","DR2IMFAT.Value.Description","DR2IMFAT.Count","DR2IMFAT.Cumulative","DR2IMFAT.Skip.to.Item"
"0 to 100.525","Range of Values",99780,99780,NA
".","Missing",900,100680,NA
