"RFXC052.Code.or.Value","RFXC052.Value.Description","RFXC052.Count","RFXC052.Cumulative","RFXC052.Skip.to.Item"
"-8.174 to 5.268","Range of Values",33702,33702,NA
".","Missing",19,33721,NA
