"ENXTR3G.Code.or.Value","ENXTR3G.Value.Description","ENXTR3G.Count","ENXTR3G.Cumulative","ENXTR3G.Skip.to.Item"
"1","Acceptable measurement",1891,1891,NA
"2","Could Not Obtain",49,1940,NA
"3","< 5 ppb",119,2059,NA
"4","> 300 ppb",1,2060,NA
".","Missing",5683,7743,NA
