"CBD745.Code.or.Value","CBD745.Value.Description","CBD745.Count","CBD745.Cumulative","CBD745.Skip.to.Item"
"1","Always",70,70,NA
"2","Most of the time",142,212,NA
"3","Sometimes",465,677,NA
"4","Rarely",191,868,NA
"7","Refused",0,868,NA
"9","Don't know",0,868,NA
".","Missing",2001,2869,NA
