"RFXT157.Code.or.Value","RFXT157.Value.Description","RFXT157.Count","RFXT157.Cumulative","RFXT157.Skip.to.Item"
"1371 to 1380","Range of Values",51051,51051,NA
".","Missing",25,51076,NA
