"RFXC036.Code.or.Value","RFXC036.Value.Description","RFXC036.Count","RFXC036.Cumulative","RFXC036.Skip.to.Item"
"-6.103 to 3.463","Range of Values",51066,51066,NA
".","Missing",10,51076,NA
