"WBXP070.Code.or.Value","WBXP070.Value.Description","WBXP070.Count","WBXP070.Cumulative","WBXP070.Skip.to.Item"
"-109.0052 to 149.0856","Range of Values",8551,8551,NA
".","Missing",3,8554,NA
