"DR2TIRON.Code.or.Value","DR2TIRON.Value.Description","DR2TIRON.Count","DR2TIRON.Cumulative","DR2TIRON.Skip.to.Item"
"0 to 161.1","Range of Values",7496,7496,NA
".","Missing",1842,9338,NA
