"DR2TKCAL.Code.or.Value","DR2TKCAL.Value.Description","DR2TKCAL.Count","DR2TKCAL.Cumulative","DR2TKCAL.Skip.to.Item"
"0 to 10591","Range of Values",7453,7453,NA
".","Missing",2360,9813,NA
