"TYXP108.Code.or.Value","TYXP108.Value.Description","TYXP108.Count","TYXP108.Cumulative","TYXP108.Skip.to.Item"
"-291 to 127","Range of Values",5539,5539,NA
".","Missing",46,5585,NA
