"URXGLP1.Code.or.Value","URXGLP1.Value.Description","URXGLP1.Count","URXGLP1.Cumulative","URXGLP1.Skip.to.Item"
"0.22 to 2.13","Range of Values",2453,2453,NA
".","Missing",152,2605,NA
