"DRD350J.Code.or.Value","DRD350J.Value.Description","DRD350J.Count","DRD350J.Cumulative","DRD350J.Skip.to.Item"
"1","Yes",18,18,""
"2","No",3681,3699,"DRD350K"
".","Missing",5845,9544,""
