"URDETDLC.Code.or.Value","URDETDLC.Value.Description","URDETDLC.Count","URDETDLC.Cumulative","URDETDLC.Skip.to.Item"
"0","At or above the detection limit",2408,2408,NA
"1","Below lower detection limit",16,2424,NA
".","Missing",294,2718,NA
