"URXUP8.Code.or.Value","URXUP8.Value.Description","URXUP8.Count","URXUP8.Cumulative","URXUP8.Skip.to.Item"
"0.082 to 152","Range of Values",2844,2844,NA
".","Missing",97,2941,NA
