"LBXPS4.Code.or.Value","LBXPS4.Value.Description","LBXPS4.Count","LBXPS4.Cumulative","LBXPS4.Skip.to.Item"
"0.04 to 44.38","Range of Values",1746,1746,NA
".","Missing",230,1976,NA
