"DR1_320Z.Code.or.Value","DR1_320Z.Value.Description","DR1_320Z.Count","DR1_320Z.Cumulative","DR1_320Z.Skip.to.Item"
"0 to 11520","Range of Values",8506,8506,NA
".","Missing",1038,9544,NA
