"SMQ666K.Code.or.Value","SMQ666K.Value.Description","SMQ666K.Count","SMQ666K.Cumulative","SMQ666K.Skip.to.Item"
"1","Regulars",3,3,NA
"2","Lights",1,4,NA
"3","Ultralights",0,4,NA
"7","Refused",0,4,NA
"9","Don't know",0,4,NA
".","Missing",6754,6758,NA
