"ALQ130.Code.or.Value","ALQ130.Value.Description","ALQ130.Count","ALQ130.Cumulative","ALQ130.Skip.to.Item"
"1 to 13","Range of Values",3470,3470,NA
"15","15 drinks or more",19,3489,NA
"777","Refused",1,3490,NA
"999","Don't know",5,3495,NA
".","Missing",2038,5533,NA
