"WTSAU17.Code.or.Value","WTSAU17.Value.Description","WTSAU17.Count","WTSAU17.Cumulative","WTSAU17.Skip.to.Item"
"0 to 480410.4139","Range of Values",1719,1719,NA
".","Missing",88,1807,NA
