"BIXC008K.Code.or.Value","BIXC008K.Value.Description","BIXC008K.Count","BIXC008K.Cumulative","BIXC008K.Skip.to.Item"
"15.48 to 530","Range of Values",4709,4709,NA
".","Missing",1240,5949,NA
