"DR1ILYCO.Code.or.Value","DR1ILYCO.Value.Description","DR1ILYCO.Count","DR1ILYCO.Cumulative","DR1ILYCO.Skip.to.Item"
"0 to 80436","Range of Values",120433,120433,NA
".","Missing",1048,121481,NA
