"SMD093.Code.or.Value","SMD093.Value.Description","SMD093.Count","SMD093.Cumulative","SMD093.Skip.to.Item"
"1","Yes",817,817,""
"2","No",464,1281,"SMD100BR"
"3","No usual brand",20,1301,"SMAQUEX2"
"4","Rolls own",18,1319,"SMD100BR"
".","Missing",5826,7145,""
