"DRXIFOLA.Code.or.Value","DRXIFOLA.Value.Description","DRXIFOLA.Count","DRXIFOLA.Cumulative","DRXIFOLA.Skip.to.Item"
"0 to 2156","Range of Values",127147,127147,NA
".","Missing",693,127840,NA
