"FSD660ZC.Code.or.Value","FSD660ZC.Value.Description","FSD660ZC.Count","FSD660ZC.Cumulative","FSD660ZC.Skip.to.Item"
"1","Yes",777,777,NA
"2","No",223,1000,NA
"7","Refused",0,1000,NA
"9","Don't know",1,1001,NA
".","Missing",9536,10537,NA
