"SXQ170.Code.or.Value","SXQ170.Value.Description","SXQ170.Count","SXQ170.Cumulative","SXQ170.Skip.to.Item"
"0 to 9000","Range of Values",1370,1370,NA
"77777","Refused",16,1386,NA
"99999","Don't know",10,1396,NA
".","Missing",2003,3399,NA
