"DUQ220Q.Code.or.Value","DUQ220Q.Value.Description","DUQ220Q.Count","DUQ220Q.Cumulative","DUQ220Q.Skip.to.Item"
"0 to 120","Range of Values",1567,1567,NA
"7777","Refused",21,1588,NA
"9999","Don't know",31,1619,NA
".","Missing",1666,3285,NA
