"RFXC016.Code.or.Value","RFXC016.Value.Description","RFXC016.Count","RFXC016.Cumulative","RFXC016.Skip.to.Item"
"-5.63 to 5.19","Range of Values",33711,33711,NA
".","Missing",10,33721,NA
