"DR1TS120.Code.or.Value","DR1TS120.Value.Description","DR1TS120.Count","DR1TS120.Cumulative","DR1TS120.Skip.to.Item"
"0 to 41.422","Range of Values",8327,8327,NA
".","Missing",1217,9544,NA
