"DRD350G.Code.or.Value","DRD350G.Value.Description","DRD350G.Count","DRD350G.Cumulative","DRD350G.Skip.to.Item"
"1","Yes",276,276,""
"2","No",3423,3699,"DRD350H"
".","Missing",5845,9544,""
