"URXDPM.Code.or.Value","URXDPM.Value.Description","URXDPM.Count","URXDPM.Cumulative","URXDPM.Skip.to.Item"
"0.354 to 1.93","Range of Values",2340,2340,NA
".","Missing",265,2605,NA
