"LBDIE5LC.Code.or.Value","LBDIE5LC.Value.Description","LBDIE5LC.Count","LBDIE5LC.Cumulative","LBDIE5LC.Skip.to.Item"
"0","At or above the detection limit",1009,1009,NA
"1","Below lower detection limit",7318,8327,NA
"2","Above upper detection limit",0,8327,NA
".","Missing",1113,9440,NA
