"HEQ010.Code.or.Value","HEQ010.Value.Description","HEQ010.Count","HEQ010.Cumulative","HEQ010.Skip.to.Item"
"1","Yes",66,66,""
"2","No",8479,8545,"HEQ030"
"7","Refused",0,8545,"HEQ030"
"9","Don't know",27,8572,"HEQ030"
".","Missing",0,8572,""
