"DR1ITFAT.Code.or.Value","DR1ITFAT.Value.Description","DR1ITFAT.Count","DR1ITFAT.Cumulative","DR1ITFAT.Skip.to.Item"
"0 to 394.45","Range of Values",130698,130698,NA
".","Missing",696,131394,NA
