"AUXR8KL.Code.or.Value","AUXR8KL.Value.Description","AUXR8KL.Count","AUXR8KL.Cumulative","AUXR8KL.Skip.to.Item"
"5 to 110","Range of Values",42,42,NA
"666","No response",2,44,NA
"888","Could not obtain",0,44,NA
".","Missing",4456,4500,NA
