"DUQ220Q.Code.or.Value","DUQ220Q.Value.Description","DUQ220Q.Count","DUQ220Q.Cumulative","DUQ220Q.Skip.to.Item"
"0 to 321","Range of Values",1740,1740,NA
"7777","Refused",33,1773,NA
"9999","Don't know",38,1811,NA
".","Missing",2814,4625,NA
